p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
GABARAPL2	1.44325970742337e-10	0.306529803967693	0.776	0.387	2.80180007002098e-06	Dendritic cells	GABARAPL2
SVIL	2.13491218744175e-10	0.256974243037964	0.308	0.102	4.14450502948066e-06	Dendritic cells	SVIL
ABCC3	2.27577072284599e-10	0.288223806949898	0.271	0.084	4.41795370426092e-06	Dendritic cells	ABCC3
DDAH2	2.44047248172576e-10	0.305410463557242	0.542	0.246	4.73768922877422e-06	Dendritic cells	DDAH2
SH3BGRL	2.75161075016636e-10	0.333044548696131	0.85	0.465	5.34170194929796e-06	Dendritic cells	SH3BGRL
CCRL2	2.90345951547324e-10	0.275016184316298	0.252	0.074	5.6364859573882e-06	Dendritic cells	CCRL2
BLOC1S1	3.04243866620978e-10	0.316466184883072	0.757	0.4	5.90628618271305e-06	Dendritic cells	BLOC1S1
UBL3	3.35068204406077e-10	0.273259879006241	0.505	0.218	6.50467905213518e-06	Dendritic cells	UBL3
FAM49B	3.864024576508e-10	0.25080021799262	0.682	0.323	7.50123091037498e-06	Dendritic cells	FAM49B
VIM	4.39285526137852e-10	0.366120265350729	0.981	0.865	8.52784991891412e-06	Dendritic cells	VIM
AKR1A1	4.58020469590352e-10	0.367916618224745	0.561	0.256	8.8915513761575e-06	Dendritic cells	AKR1A1
EMP3	5.00295305957093e-10	0.392967022319209	0.738	0.441	9.71223277454505e-06	Dendritic cells	EMP3
EIF4EBP1	7.25900546986745e-10	0.274445042201802	0.383	0.149	1.40919073186537e-05	Dendritic cells	EIF4EBP1
PPA1	7.65275824965395e-10	0.404075984356509	0.664	0.372	1.48562995900532e-05	Dendritic cells	PPA1
RAB11FIP1	8.30746050725658e-10	0.31109415673104	0.383	0.149	1.61272730827372e-05	Dendritic cells	RAB11FIP1
DAB2	1.07519086887661e-09	0.48229155594376	0.383	0.155	2.08726803375016e-05	Dendritic cells	DAB2
FCGR3A	1.15032780506382e-09	0.379254342807782	0.262	0.081	2.23313136797039e-05	Dendritic cells	FCGR3A
ATP6V1F	1.1908193162516e-09	0.390928174585688	0.813	0.43	2.31173753863923e-05	Dendritic cells	ATP6V1F
DRAP1	1.65467972664955e-09	0.258564954918892	0.776	0.409	3.21222975334478e-05	Dendritic cells	DRAP1
HBEGF	1.71637485784304e-09	0.351851422642645	0.364	0.143	3.33199851153069e-05	Dendritic cells	HBEGF
NDUFB5	2.01123678555144e-09	0.31670415559854	0.617	0.299	3.90441397179102e-05	Dendritic cells	NDUFB5
C6orf62	2.44721951088961e-09	0.255717161270883	0.533	0.242	4.75078723648999e-05	Dendritic cells	C6orf62
EIF4A3	2.63459850073823e-09	0.32542082568926	0.682	0.352	5.11454606948312e-05	Dendritic cells	EIF4A3
TRMT1	3.09366142278822e-09	0.260000726542532	0.29	0.1	6.00572492005877e-05	Dendritic cells	TRMT1
PDE4DIP	3.12786081236773e-09	0.254351253399063	0.28	0.095	6.07211619504948e-05	Dendritic cells	PDE4DIP
CTSL	3.66590523089303e-09	0.45396808074299	0.439	0.198	7.11662182473265e-05	Dendritic cells	CTSL
ATP5PD	3.77855904867001e-09	0.263385921808675	0.813	0.43	7.33531668118309e-05	Dendritic cells	ATP5PD
JAML2	4.63938669788421e-09	0.288347253083772	0.561	0.259	9.00644139660261e-05	Dendritic cells	JAML
HSPH1	4.77595948450868e-09	0.280435420788166	0.804	0.43	9.27157014727669e-05	Dendritic cells	HSPH1
YBX3	5.40974379328136e-09	0.260254825098933	0.589	0.283	0.000105019356258971	Dendritic cells	YBX3
SEC11A	5.41291645914012e-09	0.311109233976861	0.785	0.429	0.000105080947221287	Dendritic cells	SEC11A
OSM	6.00793609944121e-09	0.600546124619755	0.29	0.102	0.000116632063498452	Dendritic cells	OSM
ATP5MF	6.6800060189307e-09	0.278085659479624	0.813	0.463	0.000129678956845502	Dendritic cells	ATP5MF
MS4A4A	7.4676581056207e-09	0.42074801580668	0.28	0.097	0.000144969646804415	Dendritic cells	MS4A4A
ACTR2	8.3144967592376e-09	0.255540118772591	0.748	0.404	0.00016140932558708	Dendritic cells	ACTR2
ID2	1.06125292262246e-08	0.71566021791126	0.785	0.522	0.000206021029868697	Dendritic cells	ID2
NR4A2	1.16013163323994e-08	0.455812526539101	0.766	0.485	0.000225216353960869	Dendritic cells	NR4A2
ARL6IP5	1.64159666637899e-08	0.268440593653619	0.841	0.502	0.000318683160844153	Dendritic cells	ARL6IP5
TMEM219	1.7693379044673e-08	0.252862529590892	0.692	0.351	0.000343481567394238	Dendritic cells	TMEM219
RNASE1	1.79098238941077e-08	0.647528390541067	0.439	0.198	0.000347683411256312	Dendritic cells	RNASE1
LAMTOR1	1.91923966950085e-08	0.25186839673619	0.598	0.29	0.000372581997040199	Dendritic cells	LAMTOR1
MAP3K8	2.36779939186231e-08	0.28996636118557	0.421	0.185	0.00045966089594223	Dendritic cells	MAP3K8
CCL20	2.61514691899133e-08	0.754032773763349	0.28	0.105	0.000507678471383787	Dendritic cells	CCL20
NFE2L2	2.77297239885187e-08	0.326915250070985	0.813	0.519	0.000538317131789113	Dendritic cells	NFE2L2
TPM3	2.81211212970923e-08	0.263694839097182	0.841	0.501	0.000545915327740453	Dendritic cells	TPM3
GAPDH	3.1875668095348e-08	0.312460134483327	0.972	0.877	0.00061880234473499	Dendritic cells	GAPDH
ENO1	3.56847255008904e-08	0.309911126197471	0.785	0.504	0.000692747576148785	Dendritic cells	ENO1
TFRC	3.75300262906512e-08	0.413848448927207	0.327	0.129	0.000728570400380411	Dendritic cells	TFRC
RTN4	4.65462652709664e-08	0.283725054238971	0.738	0.402	0.000903602647705272	Dendritic cells	RTN4
UQCR10	6.28993679485491e-08	0.259774103171512	0.794	0.448	0.00122106542998518	Dendritic cells	UQCR10
CYBA	7.02142488658348e-08	0.357818414022454	0.916	0.699	0.00136306921323245	Dendritic cells	CYBA
PPIA	7.92335525632249e-08	0.264816685946549	0.944	0.768	0.00153816095590988	Dendritic cells	PPIA
CCR72	9.50377444072645e-08	0.999686801193753	0.336	0.141	0.00184496773217823	Dendritic cells	CCR7
RGS2	1.04214035924851e-07	0.26088791605003	0.794	0.486	0.00202310707940913	Dendritic cells	RGS2
TFDP2	1.26841142508957e-07	0.300563244374675	0.336	0.144	0.00246236709952637	Dendritic cells	TFDP2
CEBPB	1.42803430466111e-07	0.470635610492866	0.682	0.402	0.0027722429956386	Dendritic cells	CEBPB
TSPO	2.08540253454901e-07	0.369072093083239	0.794	0.486	0.00404839194031999	Dendritic cells	TSPO
COX5B	2.45952482249228e-07	0.269108777369975	0.841	0.515	0.00477467553790426	Dendritic cells	COX5B
ATP5PF	2.58315626150362e-07	0.268939490493464	0.766	0.436	0.00501468125045699	Dendritic cells	ATP5PF
LAPTM5	3.11173345763454e-07	0.282420757392431	0.944	0.628	0.00604080816130593	Dendritic cells	LAPTM5
PNRC11	3.33196873401722e-07	0.365241946773837	0.953	0.733	0.00646835090334764	Dendritic cells	PNRC1
COX8A	4.96766831232268e-07	0.286700282362681	0.85	0.532	0.00964373449471203	Dendritic cells	COX8A
PLIN3	5.94939695418062e-07	0.263948340918326	0.271	0.108	0.0115495643071508	Dendritic cells	PLIN3
GRSF1	6.25317977505875e-07	0.343638019160271	0.318	0.137	0.0121392978973216	Dendritic cells	GRSF1
DUSP42	7.42169891555842e-07	0.355959088607389	0.579	0.333	0.0144077441047736	Dendritic cells	DUSP4
MYL6	9.45600605849966e-07	0.271685020447348	0.972	0.844	0.0183569445613654	Dendritic cells	MYL6
CLIC1	1.04123223133051e-06	0.281694141954361	0.907	0.626	0.0202134413068191	Dendritic cells	CLIC1
CKLF	2.10152109113206e-06	0.390482159503	0.589	0.367	0.0407968289421468	Dendritic cells	CKLF
MARCKSL1	2.45923653279932e-06	0.502615123244394	0.458	0.242	0.0477411588112332	Dendritic cells	MARCKSL1
ICAM1	2.78326884775828e-06	0.516126866931794	0.29	0.133	0.0540315981415314	Dendritic cells	ICAM1
HERPUD1	2.96478627229783e-06	0.283148758167908	0.822	0.569	0.0575553959041179	Dendritic cells	HERPUD1
HMGN1	3.3704533312746e-06	0.278402185987958	0.785	0.535	0.0654306105200338	Dendritic cells	HMGN1
FABP5	7.60622812215194e-06	0.268941900149621	0.505	0.256	0.147659706535336	Dendritic cells	FABP5
ITM2B	9.55200540008519e-06	0.337490859124511	0.953	0.737	0.185433080831854	Dendritic cells	ITM2B
MT-ND3	1.08315219737832e-05	0.26445935878537	0.991	0.951	0.210272336077054	Dendritic cells	MT-ND3
TIMP2	1.50189975041172e-05	0.315536772054182	0.383	0.194	0.291563798547427	Dendritic cells	TIMP2
ALOX5AP1	4.39044296132022e-05	0.337768757353759	0.701	0.486	0.852316692081094	Dendritic cells	ALOX5AP
RAB9A	0.000112156561172264	0.37456560390189	0.327	0.18	1	Dendritic cells	RAB9A
ACTG1	0.000312548405783783	0.346194934187272	0.925	0.82	1	Dendritic cells	ACTG1
PLD3	0.00113513752548693	0.267633500560808	0.355	0.217	1	Dendritic cells	PLD3
ISG15	0.00496731841589246	0.354117272009084	0.645	0.434	1	Dendritic cells	ISG15
RAMP2	7.56734836480012e-232	2.8360824019878	0.901	0.014	1.46904933805865e-227	Endothelial cells	RAMP2
VWF	2.2275619035596e-227	2.55315417471706	0.827	0.008	4.32436592338025e-223	Endothelial cells	VWF
PCAT19	1.02466715679209e-222	1.94895642123705	0.79	0.006	1.98918635148049e-218	Endothelial cells	PCAT19
PLVAP	6.02179633170795e-208	2.32084274477987	0.704	0.004	1.16901132187446e-203	Endothelial cells	PLVAP
CDH5	7.72125340014232e-203	1.73084810397459	0.728	0.006	1.49892692256963e-198	Endothelial cells	CDH5
CCL14	8.73022168808227e-199	3.1858291024826	0.815	0.016	1.69479793630741e-194	Endothelial cells	CCL14
CLEC14A	5.09229408572607e-198	2.2320746511854	0.728	0.008	9.88567050862002e-194	Endothelial cells	CLEC14A
PTPRB	9.13167312229088e-193	1.58398501749812	0.741	0.01	1.77273170323033e-188	Endothelial cells	PTPRB
EMCN	5.56549999270498e-191	1.58000044483578	0.654	0.004	1.08043051358382e-186	Endothelial cells	EMCN
CLDN5	6.85559219737725e-183	2.88970786385578	0.691	0.008	1.33087611327685e-178	Endothelial cells	CLDN5
CALCRL	2.82119931376398e-179	1.60728527146659	0.728	0.013	5.47679422781002e-175	Endothelial cells	CALCRL
GPIHBP1	8.3947236445643e-170	1.24120103426212	0.543	0.001	1.62966770111927e-165	Endothelial cells	GPIHBP1
SLCO2A1	1.02344558627815e-163	1.37235115775803	0.568	0.004	1.98681491664178e-159	Endothelial cells	SLCO2A1
RAMP3	6.31071569882642e-163	1.54915383221461	0.605	0.006	1.22509923861317e-158	Endothelial cells	RAMP3
ADGRL4	1.02538341622715e-161	1.14309740963368	0.531	0.001	1.99057682592177e-157	Endothelial cells	ADGRL4
PRSS23	2.44770533749939e-160	2.30047700543657	0.864	0.038	4.75173037168757e-156	Endothelial cells	PRSS23
ESAM	4.93943096546522e-160	1.61699928077943	0.741	0.021	9.58891733325762e-156	Endothelial cells	ESAM
NOTCH4	6.67004610945552e-158	1.62524846216222	0.753	0.023	1.2948560512286e-153	Endothelial cells	NOTCH4
PODXL	1.17371748719372e-157	1.51562729248833	0.605	0.008	2.27853775788917e-153	Endothelial cells	PODXL
BCAM	4.54319379370738e-157	1.76428685651254	0.79	0.028	8.81970211172414e-153	Endothelial cells	BCAM
MMRN2	1.08202332442949e-153	0.856740709861116	0.481	0	2.10053187971497e-149	Endothelial cells	MMRN2
ROBO4	1.21980132627417e-145	0.798280293000941	0.481	0.001	2.36800031469604e-141	Endothelial cells	ROBO4
CYYR1	3.74200348503579e-144	1.22321480622127	0.58	0.009	7.26435136549997e-140	Endothelial cells	CYYR1
PCDH17	2.84966426379931e-142	1.42385602164738	0.531	0.006	5.53205323531361e-138	Endothelial cells	PCDH17
TIE1	4.33713342282047e-140	1.24741577300925	0.593	0.011	8.41967711372139e-136	Endothelial cells	TIE1
FAM107A	1.3549040351858e-139	1.366856787095	0.531	0.006	2.6302752035062e-135	Endothelial cells	FAM107A
SOX17	9.34688580634605e-139	1.26386265107222	0.481	0.003	1.81451094158596e-134	Endothelial cells	SOX17
EGFL7	1.02579910604469e-137	2.08414760148255	0.802	0.042	1.99138380456455e-133	Endothelial cells	EGFL7
ECSCR	2.3299094037639e-135	1.61247695746625	0.728	0.031	4.52305312552687e-131	Endothelial cells	ECSCR
DIPK2B	7.32649865903985e-135	0.851705176240812	0.481	0.004	1.42229318467941e-130	Endothelial cells	DIPK2B
TM4SF18	2.96580593982643e-134	1.04799104329473	0.457	0.002	5.75751907098504e-130	Endothelial cells	TM4SF18
JAM2	1.01260534350994e-133	1.28680254289747	0.568	0.011	1.96577075335585e-129	Endothelial cells	JAM2
TSPAN7	1.10012606009477e-133	1.42995983266059	0.642	0.019	2.13567472046198e-129	Endothelial cells	TSPAN7
BTNL9	1.3659164514208e-133	1.30054182231048	0.506	0.006	2.6516536071432e-129	Endothelial cells	BTNL9
ADCY4	1.19281923955366e-130	1.14059445520565	0.457	0.003	2.31561998974552e-126	Endothelial cells	ADCY4
PALMD	2.11030962903619e-130	1.16557693643067	0.494	0.006	4.09674408284795e-126	Endothelial cells	PALMD
MYCT1	8.53510235283711e-130	0.72152976056815	0.42	0.001	1.65691941975627e-125	Endothelial cells	MYCT1
LDB2	5.05802375705159e-129	1.33200327889393	0.667	0.025	9.81914151956425e-125	Endothelial cells	LDB2
AQP1	3.3113200643602e-126	2.36834408864086	0.815	0.052	6.42826564094246e-122	Endothelial cells	AQP1
FLT1	3.75715064330938e-122	1.69814184474204	0.679	0.03	7.2937565438565e-118	Endothelial cells	FLT1
HYAL2	3.84578194697431e-122	2.43716090415751	0.802	0.054	7.46581649366122e-118	Endothelial cells	HYAL2
SOX18	6.50511459079795e-122	0.763722536960878	0.395	0.001	1.26283789551161e-117	Endothelial cells	SOX18
SLC9A3R2	1.12654427655477e-120	2.36841087468834	0.852	0.066	2.18696040407578e-116	Endothelial cells	SLC9A3R2
ARHGAP29	1.98521036824487e-120	1.40410559961729	0.691	0.033	3.85388888787376e-116	Endothelial cells	ARHGAP29
GNG11	6.86170326493258e-118	2.54753792043279	0.864	0.073	1.33206245482136e-113	Endothelial cells	GNG11
ITGA6	1.22201305625946e-115	1.31961837238159	0.58	0.019	2.3722939461165e-111	Endothelial cells	ITGA6
TM4SF1	1.91670921957272e-114	2.39270749469245	0.864	0.075	3.72090760795652e-110	Endothelial cells	TM4SF1
LCN6	4.78431065973074e-114	0.837230650824672	0.383	0.001	9.28778228373528e-110	Endothelial cells	LCN6
TEK	4.90678981569223e-114	0.651665794392547	0.358	0	9.52555106920333e-110	Endothelial cells	TEK
FAM110D	8.69126226100196e-114	0.597296312605381	0.37	0.001	1.68723474272831e-109	Endothelial cells	FAM110D
CAV1	2.91685053499164e-113	2.25406263476701	0.852	0.07	5.66248194357926e-109	Endothelial cells	CAV1
IGFBP2	5.46853010621136e-113	1.74002124231744	0.79	0.055	1.06160574951881e-108	Endothelial cells	IGFBP2
CD34	1.26905462827834e-111	1.34667278679043	0.58	0.021	2.46361574987674e-107	Endothelial cells	CD34
FAM167B	1.63686906173607e-111	0.768204840713747	0.407	0.004	3.17765390954824e-107	Endothelial cells	FAM167B
DOCK9	4.641064987487e-111	1.00364434013733	0.519	0.013	9.00969946020851e-107	Endothelial cells	DOCK9
NOSTRIN	3.57099500458348e-110	0.82161565931787	0.457	0.008	6.93237260239791e-106	Endothelial cells	NOSTRIN
CRIP2	4.77404472732389e-110	1.98581649819415	0.889	0.086	9.26785302915387e-106	Endothelial cells	CRIP2
SHANK3	4.80403209737673e-110	0.529834540209311	0.358	0.001	9.32606751063745e-106	Endothelial cells	SHANK3
KANK3	1.93094265964763e-109	0.702735583972318	0.42	0.005	3.74853898517395e-105	Endothelial cells	KANK3
MTUS1	9.62682937099181e-109	1.36812291648317	0.679	0.038	1.86885638579064e-104	Endothelial cells	MTUS1
SNCG	1.72778588230387e-108	0.731914022252376	0.407	0.004	3.3541507333165e-104	Endothelial cells	SNCG
HSPG2	4.35644155577351e-105	2.11793457701721	0.877	0.091	8.45715999222311e-101	Endothelial cells	HSPG2
GALNT18	5.07131817869044e-105	0.779715006191569	0.469	0.011	9.84494998029176e-101	Endothelial cells	GALNT18
SOX7	7.61994877227211e-105	0.86023856509613	0.395	0.004	1.47926065516119e-100	Endothelial cells	SOX7
FCN3	3.08386270642029e-102	1.00395415682541	0.321	0	5.9867026719737e-98	Endothelial cells	FCN3
F2RL3	4.80448009429787e-102	0.751528112852519	0.346	0.001	9.32693720706045e-98	Endothelial cells	F2RL3
NFIB	2.35341362097062e-100	1.76460972397535	0.79	0.069	4.56868186239026e-96	Endothelial cells	NFIB
PIK3R3	9.58613707604223e-100	1.02154125665512	0.543	0.021	1.86095679057208e-95	Endothelial cells	PIK3R3
ID1	4.75806744721503e-99	2.34412871512044	0.815	0.079	9.23683633527854e-95	Endothelial cells	ID1
HSPA12B	2.58205164388474e-98	0.429708875842144	0.309	0	5.01253685627345e-94	Endothelial cells	HSPA12B
AFAP1L1	2.74984178086095e-98	0.730273310301251	0.383	0.005	5.33826784918537e-94	Endothelial cells	AFAP1L1
C2CD4B	1.59692374055845e-95	1.02601601375649	0.346	0.003	3.10010805754612e-91	Endothelial cells	C2CD4B
TSPAN18	6.56354313646282e-95	0.493666024321085	0.333	0.002	1.27418062908153e-90	Endothelial cells	TSPAN18
DIPK1B	7.51601871342085e-95	0.515381626231534	0.333	0.002	1.45908471283639e-90	Endothelial cells	DIPK1B
SPARCL1	7.90799565195743e-95	2.61817027073836	0.938	0.118	1.5351791959145e-90	Endothelial cells	SPARCL1
CAVIN1	1.76300645383817e-94	1.88500554589968	0.852	0.096	3.42252442883603e-90	Endothelial cells	CAVIN1
LIFR	2.43151632012536e-94	1.28046245257898	0.617	0.036	4.72030263225935e-90	Endothelial cells	LIFR
IGFBP4	3.09387866575499e-91	2.11318509001927	0.901	0.123	6.00614665383016e-87	Endothelial cells	IGFBP4
ADGRL2	1.30048899819188e-89	0.849602115214448	0.444	0.013	2.52463929218989e-85	Endothelial cells	ADGRL2
NRN1	1.75930822940587e-89	0.533219721541908	0.346	0.004	3.41534506574562e-85	Endothelial cells	NRN1
WWTR1	3.36955776906465e-89	1.01952107749425	0.556	0.03	6.5413224970852e-85	Endothelial cells	WWTR1
EPAS1	2.49912429724877e-88	2.34703202142451	0.926	0.147	4.85154999824904e-84	Endothelial cells	EPAS1
PECAM1	3.95349366245665e-88	2.23322007688189	0.877	0.127	7.67491724692709e-84	Endothelial cells	PECAM1
ERG	1.12613784159477e-86	0.722412057473387	0.407	0.011	2.18617139188793e-82	Endothelial cells	ERG
CAVIN2	8.88310593747034e-86	1.94221799437117	0.753	0.079	1.72447735564112e-81	Endothelial cells	CAVIN2
GPR146	9.48161861960216e-86	0.758736876434573	0.395	0.01	1.84066662262337e-81	Endothelial cells	GPR146
TINAGL1	1.35565656657864e-85	1.21566122386571	0.519	0.025	2.63173609269912e-81	Endothelial cells	TINAGL1
JCAD	1.77593649561592e-85	0.609030174710229	0.358	0.006	3.44762551893919e-81	Endothelial cells	JCAD
CASKIN2	5.52855055000823e-84	0.645807454802652	0.346	0.006	1.0732575182731e-79	Endothelial cells	CASKIN2
SORBS2	2.45504398983496e-83	0.940967255028043	0.457	0.018	4.76597689746661e-79	Endothelial cells	SORBS2
AIF1L	3.17172928188881e-83	0.602139054193497	0.296	0.002	6.15727805493075e-79	Endothelial cells	AIF1L
IFI27	4.03659419869642e-83	2.73892232525581	0.951	0.171	7.83624031792936e-79	Endothelial cells	IFI27
LRRC32	5.1174081172307e-83	0.648756619201534	0.383	0.009	9.93442437797996e-79	Endothelial cells	LRRC32
CX3CL1	3.54356662730613e-81	0.725601868545577	0.407	0.013	6.87912589358938e-77	Endothelial cells	CX3CL1
TMEM204	4.21869901657301e-81	1.50154254849592	0.716	0.07	8.18976040087318e-77	Endothelial cells	TMEM204
COL4A1	1.26257588961517e-80	1.73374196331895	0.704	0.067	2.45103857450992e-76	Endothelial cells	COL4A1
FZD4	4.1343143953276e-80	0.836416496449962	0.432	0.016	8.02594453564947e-76	Endothelial cells	FZD4
LIMS2	4.17430574705469e-80	0.875248098804108	0.383	0.011	8.10357974675728e-76	Endothelial cells	LIMS2
SASH1	2.1302133218458e-79	0.935432484348825	0.543	0.034	4.13538312169925e-75	Endothelial cells	SASH1
KDR	2.27837234912206e-79	0.741881139317908	0.346	0.007	4.42300424135065e-75	Endothelial cells	KDR
PPFIBP1	4.62308198078924e-79	1.22057419275211	0.642	0.054	8.97478904930615e-75	Endothelial cells	PPFIBP1
HEG1	1.00212621874208e-78	1.10568332121608	0.63	0.051	1.945427628444e-74	Endothelial cells	HEG1
MAGI1	3.40773203668506e-78	1.01569368422839	0.407	0.014	6.61543020281672e-74	Endothelial cells	MAGI1
TIMP3	2.29064819403764e-76	2.05608490511544	0.914	0.155	4.44683533908528e-72	Endothelial cells	TIMP3
S100A16	3.09030014933077e-76	1.15549980065468	0.617	0.052	5.99919967989582e-72	Endothelial cells	S100A16
PLEKHG1	1.00293336937106e-75	0.61905125277056	0.37	0.011	1.94699454996005e-71	Endothelial cells	PLEKHG1
TMEM88	1.04526358740447e-75	1.15694308590513	0.531	0.035	2.02917020222829e-71	Endothelial cells	TMEM88
CD931	2.70951488681492e-74	1.26983813239441	0.667	0.067	5.25998124977381e-70	Endothelial cells	CD93
NPDC1	6.6961087197355e-74	1.69206342263465	0.716	0.086	1.29991558576225e-69	Endothelial cells	NPDC1
THSD7A	3.79168244933455e-73	0.649982890631698	0.284	0.004	7.36079313889316e-69	Endothelial cells	THSD7A
ADGRF5	5.11478995052995e-73	1.1051037649656	0.568	0.043	9.92934173096379e-69	Endothelial cells	ADGRF5
ACVRL1	8.07889692143117e-72	1.02560685934999	0.568	0.047	1.56835625935743e-67	Endothelial cells	ACVRL1
EFNB2	9.64553660867994e-72	1.01923444781808	0.42	0.019	1.87248802184304e-67	Endothelial cells	EFNB2
IGFBP3	3.87070051408023e-71	2.32483579909683	0.543	0.041	7.51419090798396e-67	Endothelial cells	IGFBP3
CAV2	7.14915762437425e-71	0.95535406583391	0.63	0.058	1.38786596961977e-66	Endothelial cells	CAV2
PCDH1	1.6352759245329e-70	0.595475885871229	0.284	0.004	3.17456115229573e-66	Endothelial cells	PCDH1
COL4A2	5.22855345624079e-70	1.42387546282481	0.716	0.08	1.01501908246002e-65	Endothelial cells	COL4A2
EPHB4	5.45330992601595e-70	0.723473310689868	0.395	0.016	1.05865105593748e-65	Endothelial cells	EPHB4
HIF3A	1.23365833640503e-69	0.657008581963754	0.432	0.021	2.39490092846309e-65	Endothelial cells	HIF3A
RPS6KA2	1.26622012081953e-69	0.944174952426187	0.568	0.047	2.45811312054696e-65	Endothelial cells	RPS6KA2
ACE	4.01600074511173e-69	1.24603763947053	0.531	0.041	7.7962622464854e-65	Endothelial cells	ACE
RASIP1	4.40219366824116e-69	0.58479804362183	0.296	0.006	8.54597856815657e-65	Endothelial cells	RASIP1
ECE1	7.70967506171063e-69	0.776689216693677	0.457	0.025	1.49667921972988e-64	Endothelial cells	ECE1
NES	1.86783103981542e-68	0.893057943724004	0.432	0.022	3.62602039759367e-64	Endothelial cells	NES
OLFML2A	1.89746995930535e-67	0.604453664567745	0.358	0.013	3.68355843199948e-63	Endothelial cells	OLFML2A
VWA1	2.09906710973143e-67	1.23550824749321	0.531	0.042	4.07491898012162e-63	Endothelial cells	VWA1
LEPR	2.1552897129522e-67	0.83095971975747	0.37	0.014	4.18406391975411e-63	Endothelial cells	LEPR
EMP1	3.24211534133064e-67	1.57691474948319	0.728	0.1	6.29391851212516e-63	Endothelial cells	EMP1
SMAD6	6.70845848912267e-67	0.411812128132131	0.272	0.004	1.30231304649338e-62	Endothelial cells	SMAD6
FKBP9	2.99569946764311e-66	0.896571569492446	0.568	0.05	5.81555137653557e-62	Endothelial cells	FKBP9
GJA1	3.87599895573289e-66	0.828181754328864	0.358	0.013	7.52447677276426e-62	Endothelial cells	GJA1
TJP1	5.59228327204163e-66	0.81935718499723	0.519	0.039	1.08562995160144e-61	Endothelial cells	TJP1
RAPGEF3	1.82653458551872e-65	0.564459719140532	0.284	0.006	3.54585159086748e-61	Endothelial cells	RAPGEF3
SPTBN1	2.03707381061587e-65	1.55970832072073	0.765	0.115	3.9545713885486e-61	Endothelial cells	SPTBN1
APP	2.66062157301131e-65	1.69810721941593	0.852	0.169	5.16506465968686e-61	Endothelial cells	APP
ITGA10	9.62984144761091e-64	0.881488764991916	0.383	0.018	1.86944112022471e-59	Endothelial cells	ITGA10
PTPRM	1.69071423588144e-63	0.705359624025183	0.457	0.03	3.28218354611663e-59	Endothelial cells	PTPRM
PCGF2	1.75125062199559e-63	0.680687667398889	0.407	0.022	3.39970283248005e-59	Endothelial cells	PCGF2
EDN1	1.83035491454747e-63	1.26358457479467	0.284	0.006	3.55326799561101e-59	Endothelial cells	EDN1
IGFBP7	2.24692211849821e-63	2.1810780529684	0.975	0.229	4.36194990864058e-59	Endothelial cells	IGFBP7
RBP7	5.44217137637218e-63	1.54905032662821	0.519	0.046	1.05648872929513e-58	Endothelial cells	RBP7
ENG	1.22391425697309e-62	1.85247805215271	0.753	0.123	2.37598474706187e-58	Endothelial cells	ENG
HTRA1	2.17531655574347e-62	1.07635062113263	0.593	0.059	4.2229420296648e-58	Endothelial cells	HTRA1
EMP2	3.88120139258688e-62	1.58151062101796	0.802	0.135	7.53457626342892e-58	Endothelial cells	EMP2
SHE	5.18985066275248e-62	0.513413991752758	0.321	0.011	1.00750570916014e-57	Endothelial cells	SHE
SH3BGRL2	2.6300043747503e-61	0.415308488229943	0.284	0.007	5.10562749270277e-57	Endothelial cells	SH3BGRL2
NUAK1	8.05664825905224e-61	0.658265360024104	0.321	0.011	1.56403712652981e-56	Endothelial cells	NUAK1
TCF4	1.23954082470815e-60	1.34524370388489	0.778	0.13	2.40632060300594e-56	Endothelial cells	TCF4
DLC1	9.84086083582806e-60	1.03022948391803	0.531	0.05	1.9104063140593e-55	Endothelial cells	DLC1
SH2D3C	1.81686087002984e-59	0.721309746281861	0.333	0.013	3.52707200698893e-55	Endothelial cells	SH2D3C
S1PR1	2.35377093337984e-59	0.729503909111071	0.506	0.041	4.56937551297028e-55	Endothelial cells	S1PR1
DOCK6	3.68495080490523e-59	0.495556110608757	0.333	0.013	7.15359499756252e-55	Endothelial cells	DOCK6
FLNB	6.79823409261813e-58	0.80473410719721	0.481	0.039	1.31974118439996e-53	Endothelial cells	FLNB
SPARC	7.2792441188424e-58	1.83812177995268	0.864	0.173	1.41311966079087e-53	Endothelial cells	SPARC
MGP	1.19895345178523e-57	1.15249898830645	0.914	0.177	2.32752833595067e-53	Endothelial cells	MGP
MCAM	1.24467422450868e-57	0.871968133009991	0.494	0.041	2.4162860720387e-53	Endothelial cells	MCAM
HECW2	2.03216796127495e-57	0.475328518466069	0.284	0.008	3.94504766322306e-53	Endothelial cells	HECW2
A2M	4.5170301911448e-57	1.23034300993012	0.951	0.205	8.76891071006939e-53	Endothelial cells	A2M
GIMAP6	5.02115975032464e-57	0.661593977090902	0.407	0.025	9.74757742330522e-53	Endothelial cells	GIMAP6
CNN3	1.17397628176275e-56	1.28991145604782	0.691	0.1	2.27904015578602e-52	Endothelial cells	CNN3
ID3	2.23030263450992e-56	1.6878711705277	0.852	0.18	4.32968650437411e-52	Endothelial cells	ID3
EDNRB	2.97273086720564e-56	1.14666244997851	0.395	0.025	5.77096243250631e-52	Endothelial cells	EDNRB
IFITM3	4.35194414563449e-56	1.94482351618458	1	0.352	8.44842916992024e-52	Endothelial cells	IFITM3
